posted_id,user_id,tweet_id
207178,56568,582
207179,56569,583
207180,56570,584
207181,56571,585
207182,56572,586
207183,56573,587
207184,56574,588
207185,56575,589
207186,56576,590
207187,56577,591
207188,56578,592
207189,56579,593
207190,56580,594
207191,56581,595
207192,56582,596
207193,56583,597
207194,56584,598
207195,56585,599
207196,56581,600
207197,56586,601
207198,56587,602
207199,56588,603
207200,56589,604
207201,56590,605
207202,56591,606
207203,56592,607
207204,56593,608
207205,56591,609
207206,56594,610
207207,56595,611
207208,56596,612
207209,56597,613
207210,56598,614
207211,56599,615
207212,56600,616
207213,56601,617
207214,56602,618
207215,56603,619
207216,56604,620
207217,56605,621
207218,56606,622
207219,56607,623
207220,56608,624
207221,56609,625
207222,56610,626
207223,56611,627
207224,56612,628
207225,56613,629
207226,56614,630
207227,56615,631
207228,56616,632
207229,56617,633
207230,56618,634
207231,56619,635
207232,56620,636
207233,56621,637
207234,56578,638
207235,56622,639
207236,56623,640
207237,56624,641
207238,56625,642
207239,56626,643
207240,56627,644
207241,56628,645
207242,56629,646
207243,56630,647
207244,56631,648
207245,56632,649
207246,56633,650
207247,56634,651
207248,56635,652
207249,56636,653
207250,56637,654
207251,56638,655
207252,56639,656
207253,56640,657
207254,56641,658
207255,56642,659
207256,56643,660
207257,56644,661
207258,56624,662
207259,56645,663
207260,56646,664
207261,56647,665
207262,56648,666
207263,56649,667
207264,56650,668
207265,56651,669
207266,56652,670
207267,56653,671
207268,56654,672
207269,56655,673
207270,56656,674
207271,56657,675
207272,56658,676
207273,56659,677
207274,56660,678
207275,56661,679
207276,56662,680
207277,56663,681
207278,56664,682
207279,56638,683
207280,56665,684
207281,56666,685
207282,56667,686
207283,56668,687
207284,56669,688
207285,56670,689
207286,56671,690
207287,56672,691
207288,56673,692
207289,56674,693
207290,56675,694
207291,56676,695
207292,56677,696
207293,56678,697
207294,56679,698
207295,56642,699
207296,56680,700
207297,56681,701
207298,56682,702
207299,56683,703
207300,56684,704
207301,56685,705
207302,56686,706
207303,56600,707
207304,56687,708
207305,56688,709
207306,56689,710
207307,56690,711
207308,56691,712
207309,56692,713
207310,56693,714
207311,56681,715
207312,56694,716
207313,56695,717
207314,56696,718
207315,56697,719
207316,56698,720
207317,56699,721
207318,56700,722
207319,56677,723
207320,56701,724
207321,56702,725
207322,56703,726
207323,56704,727
207324,56705,728
207325,56706,729
207326,56707,730
207327,56708,731
207328,56709,732
207329,56600,733
207330,56710,734
207331,56711,735
207371,56712,736
207372,56713,737
207373,56714,738
207374,56715,739
207375,56716,740
207376,56717,741
207377,56718,742
207378,56719,743
207379,56720,744
207380,56721,745
207381,56722,746
207382,56723,747
207383,56680,748
207384,56724,749
207385,56725,750
207386,56726,751
207387,56727,752
207388,56728,753
207389,56729,754
207390,56730,755
207391,56731,756
207392,56732,757
207393,56733,758
207394,56734,759
207395,56680,760
207396,56735,761
207397,56736,762
207398,56737,763
207399,56738,764
207400,56739,765
207401,56740,766
207402,56741,767
207403,56742,768
207404,56743,769
207405,56744,770
207406,56745,771
207407,56746,772
207408,56747,773
207409,56681,774
207410,56569,775
207411,56748,776
207412,56749,777
207413,56681,778
207414,56750,779
207415,56751,780
207416,56752,781
207417,56681,782
207418,56638,783
207419,56753,784
207420,56754,785
207421,56755,786
207422,56756,787
207423,56757,788
207424,56758,789
207425,56591,790
207426,56759,791
207427,56760,792
207428,56761,793
207429,56762,794
207430,56763,795
207431,56764,796
207432,56591,797
207433,56765,798
207434,56766,799
207435,56767,800
207436,56768,801
207437,56769,802
207438,56770,803
207439,56771,804
207440,56772,805
207441,56773,806
207442,56774,807
207443,56775,808
207444,56776,809
207445,56777,810
207446,56778,811
207447,56779,812
207448,56780,813
207449,56781,814
207450,56782,815
207451,56783,816
207452,56784,817
207453,56785,818
207454,56786,819
207455,56787,820
207456,56788,821
207457,56789,822
207458,56790,823
207459,56791,824
207460,56792,825
207461,56762,826
207462,56793,827
207463,56794,828
207464,56795,829
207465,56796,830
207466,56797,831
207467,56798,832
207468,56773,833
207469,56792,834
207470,56799,835
207471,56800,836
207472,56743,837
207473,56801,838
207474,56802,839
207475,56803,840
207476,56804,841
207477,56805,842
207478,56806,843
207479,56807,844
207480,56808,845
207481,56809,846
207482,56810,847
207483,56811,848
207484,56812,849
207485,56813,850
207486,56814,851
207487,56815,852
207488,56816,853
207489,56817,854
207490,56818,855
207491,56819,856
207492,56820,857
207493,56821,858
207494,56822,859
207495,56680,860
207496,56823,861
207497,56824,862
207498,56825,863
207499,56826,864
207500,56827,865
207501,56828,866
207502,56829,867
207503,56830,868
207504,56831,869
207505,56832,870
207506,56833,871
207507,56834,872
207508,56835,873
207509,56836,874
207510,56837,875
207511,56838,876
207512,56839,877
207513,56840,878
207514,56841,879
207515,56842,880
207516,56843,881
207517,56844,882
207518,56845,883
207519,56846,884
207520,56847,885
207521,56848,886
207522,56849,887
207523,56850,888
207524,56851,889
207525,56852,890
207526,56853,891
207527,56854,892
207528,56855,893
207529,56856,894
207530,56857,895
207531,56858,896
207532,56859,897
207533,56860,898
207534,56861,899
207535,56862,900
207536,56863,901
207537,56864,902
207538,56865,903
207539,56866,904
207540,56867,905
207541,56868,906
207542,56869,907
207543,56870,908
207544,56871,909
207545,56872,910
207546,56873,911
207547,56874,912
207548,56875,913
207549,56876,914
207550,56877,915
207551,56878,916
207552,56879,917
207553,56880,918
207554,56881,919
207555,56882,920
207556,56883,921
207557,56884,922
207558,56885,923
207559,56886,924
207560,56887,925
207561,56888,926
207562,56889,927
207563,56890,928
207564,56891,929
207565,56892,930
207566,56893,931
207567,56894,932
207568,56895,933
207569,56896,934
207570,56897,935
207571,56898,936
207572,56899,937
207573,56900,938
207574,56901,939
207575,56902,940
207576,56903,941
207577,56904,942
207578,56905,943
207579,56906,944
207580,56907,945
207581,56908,946
207582,56909,947
207583,56910,948
207584,56911,949
207585,56912,950
207586,56913,951
207587,56914,952
207588,56915,953
207589,56916,954
207590,56917,955
207591,56918,956
207592,56919,957
207593,56920,958
207594,56921,959
207595,56922,960
207596,56923,961
207597,56924,962
207598,56925,963
207599,56926,964
207600,56927,965
207601,56928,966
207602,56929,967
207603,56930,968
207604,56931,969
207605,56932,970
207606,56933,971
207607,56934,972
207608,56935,973
207609,56936,974
207610,56937,975
207611,56938,976
207612,56939,977
207613,56940,978
207614,56941,979
207615,56942,980
207616,56943,981
207617,56944,982
207618,56945,983
207619,56946,984
207620,56947,985
207621,56948,986
207622,56949,987
207623,56950,988
207624,56951,989
207625,56952,990
207626,56578,991
207627,56953,992
207628,56954,993
207629,56955,994
207630,56956,995
207631,56957,996
207632,56791,997
207633,56958,998
207634,56959,999
207635,56960,1000
207636,56961,1001
207637,56962,1002
207638,56963,1003
207639,56964,1004
207640,56965,1005
207641,56966,1006
207642,56967,1007
207643,56968,1008
207644,56969,1009
207645,56970,1010
207646,56971,1011
207647,56972,1012
207648,56973,1013
207649,56974,1014
207650,56975,1015
207651,56976,1016
207652,56977,1017
207653,56978,1018
207654,56979,1019
207655,56980,1020
207656,56981,1021
207657,56982,1022
207658,56983,1023
207659,56984,1024
207660,56985,1025
207661,56986,1026
207662,56987,1027
207663,56988,1028
207664,56989,1029
207665,56990,1030
207666,56991,1031
207667,56992,1032
207668,56993,1033
207669,56994,1034
207670,56995,1035
207671,56996,1036
207672,56997,1037
207673,56998,1038
207674,56999,1039
207675,57000,1040
207676,57001,1041
207677,57002,1042
207678,57003,1043
207679,57004,1044
207680,57005,1045
207681,57006,1046
207682,57007,1047
207683,57008,1048
207684,57009,1049
207685,57010,1050
207686,57011,1051
207687,57012,1052
207688,57013,1053
207689,57014,1054
207690,57015,1055
207691,57016,1056
207692,57017,1057
207693,57018,1058
207694,57019,1059
207695,57020,1060
207696,57021,1061
207697,57022,1062
207698,57023,1063
207699,57024,1064
207700,57025,1065
207701,57026,1066
