is_about_id,tweet_id,event_id
0,588,0
1,589,0
2,3060,4
3,582,0
4,583,0
5,584,0
6,585,0
7,586,0
8,587,0
9,590,0
10,591,0
11,592,0
12,593,0
13,594,0
14,595,0
15,596,0
16,597,0
17,598,0
18,599,0
19,600,0
20,602,0
21,603,0
22,604,0
23,605,0
24,606,0
25,607,0
26,608,0
27,609,0
28,610,0
29,611,0
30,612,0
31,613,0
32,614,0
33,615,0
34,616,0
35,617,0
36,618,0
37,619,0
38,620,0
39,621,0
40,622,0
41,623,0
42,624,0
43,625,0
44,626,0
45,627,0
46,628,0
47,629,0
48,630,0
49,631,0
50,632,0
51,633,0
52,634,0
53,636,0
54,637,0
55,638,0
56,639,0
57,640,0
58,641,0
59,642,0
60,643,0
61,644,0
62,645,0
63,646,0
64,647,0
65,648,0
66,649,0
67,650,0
68,651,0
69,652,0
70,653,0
71,654,0
72,655,0
73,656,0
74,657,0
75,658,0
76,659,0
77,660,0
78,661,0
79,662,0
80,663,0
81,664,0
82,665,0
83,666,0
84,668,0
85,669,0
86,670,0
87,671,0
88,672,0
89,673,0
90,674,0
91,675,0
92,676,0
93,677,0
94,678,0
95,679,0
96,680,0
97,681,0
98,682,0
99,683,0
100,684,0
101,685,0
102,686,0
103,687,0
104,688,0
105,689,0
106,690,0
107,691,0
108,692,0
109,693,0
110,694,0
111,695,0
112,696,0
113,697,0
114,698,0
115,699,0
116,700,0
117,701,0
118,702,0
119,704,0
120,705,0
121,706,0
122,707,0
123,708,0
124,710,0
125,711,0
126,712,0
127,713,0
128,714,0
129,715,0
130,716,0
131,717,0
132,718,0
133,719,0
134,721,0
135,722,0
136,723,0
137,724,0
138,725,0
139,726,0
140,727,0
141,728,0
142,729,0
143,730,0
144,731,0
145,732,0
146,733,0
147,734,0
148,735,0
149,736,0
150,737,0
151,738,0
152,739,0
153,740,0
154,741,0
155,742,0
156,743,0
157,744,0
158,745,0
159,746,0
160,747,0
161,749,0
162,750,0
163,751,0
164,752,0
165,753,0
166,754,0
167,755,0
168,756,0
169,757,0
170,758,0
171,759,0
172,760,0
173,761,0
174,762,0
175,763,0
176,764,0
177,765,0
178,766,0
179,767,0
180,769,0
181,770,0
182,771,0
183,772,0
184,773,0
185,774,0
186,775,0
187,776,0
188,777,0
189,778,0
190,779,0
191,780,0
192,781,0
193,782,0
194,783,0
195,784,0
196,785,0
197,786,0
198,788,0
199,789,0
200,790,0
201,791,0
202,792,0
203,793,0
204,794,0
205,795,0
206,796,0
207,797,0
208,798,0
209,799,0
210,800,0
211,801,0
212,802,0
213,803,0
214,804,0
215,805,0
216,806,0
217,807,0
218,808,0
219,809,0
220,810,0
221,811,0
222,812,0
223,813,0
224,814,0
225,816,0
226,817,0
227,819,0
228,820,0
229,821,0
230,822,0
231,823,0
232,824,0
233,825,0
234,826,0
235,827,0
236,828,0
237,829,0
238,830,0
239,831,0
240,832,0
241,833,0
242,834,0
243,835,0
244,836,0
245,837,0
246,838,0
247,839,0
248,840,0
249,841,0
250,842,0
251,843,0
252,844,0
253,845,0
254,846,0
255,847,0
256,848,0
257,849,0
258,850,0
259,851,0
260,852,0
261,853,0
262,854,0
263,855,0
264,1325,1
265,1326,1
266,1327,1
267,1328,1
268,1332,1
269,1333,1
270,1334,1
271,1335,1
272,1339,1
273,1341,1
274,1344,1
275,1349,1
276,1351,1
277,1353,1
278,1354,1
279,1356,1
280,1358,1
281,1359,1
282,1360,1
283,1361,1
284,1362,1
285,1363,1
286,1364,1
287,1365,1
288,1367,1
289,1369,1
290,1371,1
291,1372,1
292,1373,1
293,1374,1
294,1375,1
295,1377,1
296,1379,1
297,1383,1
298,1384,1
299,1387,1
300,1388,1
301,1389,1
302,1390,1
303,1392,1
304,1393,1
305,1394,1
306,1395,1
307,1397,1
308,1398,1
309,1399,1
310,1400,1
311,1401,1
312,1402,1
313,1403,1
314,1404,1
315,1405,1
316,1406,1
317,1407,1
318,1408,1
319,1409,1
320,1410,1
321,1411,1
322,1412,1
323,1413,1
324,1415,1
325,1416,1
326,1417,1
327,1418,1
328,1419,1
329,1420,1
330,1421,1
331,1422,1
332,1424,1
333,1425,1
334,1426,1
335,1427,1
336,1428,1
337,1429,1
338,1430,1
339,1431,1
340,1432,1
341,1433,1
342,1434,1
343,1435,1
344,1436,1
345,1438,1
346,1439,1
347,1440,1
348,1441,1
349,1442,1
350,1443,1
351,1444,1
352,1445,1
353,1446,1
354,1447,1
355,1448,1
356,1449,1
357,1450,1
358,1451,1
359,1453,1
360,1454,1
361,1455,1
362,1457,1
363,1458,1
364,1459,1
365,1460,1
366,1461,1
367,1462,1
368,1463,1
369,1464,1
370,1465,1
371,1466,1
372,1467,1
373,1468,1
374,1469,1
375,1470,1
376,1471,1
377,1472,1
378,1473,1
379,1475,1
380,1476,1
381,1477,1
382,1478,1
383,1479,1
384,1480,1
385,1482,1
386,1483,1
387,1484,1
388,1485,1
389,1486,1
390,1487,1
391,1488,1
392,1489,1
393,1491,1
394,1493,1
395,1494,1
396,1495,1
397,1496,1
398,1497,1
399,1498,1
400,1499,1
401,1500,1
402,1501,1
403,1502,1
404,1503,1
405,1504,1
406,1505,1
407,1506,1
